keys,en,tr
MENU_SUBTITLE,Element-matching tower defense,Element eşleştirmeli kule savunması
MENU_PLAY,Play,Oyna
MENU_WORKSHOP,Workshop,Atölye
MENU_HOW,How to Play,Nasıl Oynanır
MENU_QUIT,Quit,Çıkış
MENU_DIFFICULTY,Difficulty: %s,Zorluk: %s
MENU_SOUND_ON,Sound: On,Ses: Açık
MENU_SOUND_OFF,Sound: Off,Ses: Kapalı
MENU_LANGUAGE,Language: %s,Dil: %s
LANG_EN,English,English
LANG_TR,Türkçe,Türkçe
DIFF_NORMAL,Normal,Normal
DIFF_EASY,Easy,Kolay
DIFF_HARD,Hard,Zor
STATUS_OFFLINE,Welcome back: +%d Essence while away,Tekrar hoş geldin: yokken +%d Öz
STATUS_ESSENCE,Essence: %d,Öz: %d
STATUS_BEST,Best: wave %d,En iyi: dalga %d
BTN_BACK,Back,Geri
HOW_TITLE,How to Play,Nasıl Oynanır
TAB_BASICS,Basics,Temel
TAB_ELEMENTS,Elements,Elementler
TAB_FUSIONS,Fusions,Füzyonlar
BASIC_1,"Drag a tower from the palette on the right onto open ground. While you drag, the shaded ground is where you may NOT build: trees, cliffs, water, and the road itself.","Sağdaki paletten bir kuleyi sürükleyip açık zemine bırak. Sürüklerken koyulaşan zemin inşa EDEMEYECEĞİN yerdir: ağaçlar, kayalıklar, su ve yolun kendisi."
BASIC_2,"Towers always shoot the enemy nearest the exit, the one about to cost you a life.",Kuleler her zaman çıkışa en yakın düşmana ateş eder; yani canını götürmek üzere olana.
BASIC_3,"Tap a tower to open its panel: upgrade it, fuse it, or sell it. Selling refunds everything if the tower never fired a shot, and most of it otherwise.","Bir kuleye dokununca paneli açılır: yükselt, birleştir ya da sat. Hiç ateş etmemiş bir kule tam iade eder, etmişse büyük kısmını."
BASIC_4,Gold comes from kills. Send Next starts the next wave early and pays a bonus for it.,Altın öldürmekten gelir. Send Next sonraki dalgayı erken başlatır ve bunun için bonus öder.
BASIC_5,"Pause / Space freezes the game. The speed button / F cycles 1x, 2x, 3x. M mutes all sound.","Pause / Space oyunu dondurur. Hız düğmesi / F 1x, 2x, 3x arasında geçer. M tüm sesi kapatır."
BASIC_6,A standard run is 50 waves. Clear them all to win. Lose 20 lives and it is over.,Standart bir oyun 50 dalgadır. Hepsini temizlersen kazanırsın. 20 can biterse oyun biter.
BASIC_GATE_TITLE,Gold only takes a tower to Level 2.,Altın bir kuleyi ancak Seviye 2'ye çıkarır.
BASIC_GATE_1,"On waves 10, 20, 30 and 40 an element AVATAR arrives, in an order each run picks for itself. Killing one opens two doors at once:","10., 20., 30. ve 40. dalgalarda bir element AVATARI gelir; sıralamayı her oyun kendisi seçer. Birini öldürmek aynı anda iki kapı açar:"
BASIC_GATE_2,"towers of THAT element can now climb to Level 5,","O ELEMENTİN kuleleri artık Seviye 5'e kadar çıkabilir,"
BASIC_GATE_3,and ANY tower can now fuse with that element.,ve HERHANGİ bir kule artık o elementle birleşebilir.
BASIC_GATE_4,"So Level 2 is a fork. Upgrading to Level 3 closes fusion for that tower forever, and fusing closes upgrading forever. Pick one.","Yani Seviye 2 bir yol ayrımıdır. Seviye 3'e yükseltmek o kulenin füzyonunu kalıcı kapatır, birleştirmek de yükseltmeyi kalıcı kapatır. Birini seç."
ELEM_WHEEL,water > fire > nature > earth > water,su > ateş > doğa > toprak > su
ELEM_RULE,You deal x1.6 to the element you beat and x0.85 to the one that beats you. Big gold damage numbers mean a bonus; small grey ones mean you are being resisted.,"Yendiğin elemente x1.6, seni yenene x0.85 hasar verirsin. Büyük altın rengi hasar sayıları bonus demektir; küçük gri olanlar direniliyorsun demektir."
